===== RECEIVED DATA FOR SYMBOL: EURUSD =====
         open      high       low     close    volume  day_of_week      hour    minute       day  timeframe
157  0.224780  0.187190  0.237450  0.218287  0.014549     0.666667  0.391304  0.000000  0.838710       0.50
158  0.223106  0.188606  0.269578  0.221582  0.008908     0.666667  0.347826  0.000000  0.838710       0.50
159  0.223524  0.196745  0.271586  0.219522  0.009550     0.666667  0.304348  0.000000  0.838710       0.50
160  0.235245  0.192498  0.274598  0.219934  0.010204     0.666667  0.260870  0.000000  0.838710       0.50
161  0.227292  0.202052  0.277610  0.231466  0.009429     0.666667  0.217391  0.000000  0.838710       0.50
162  0.220594  0.186837  0.269076  0.224053  0.011959     0.666667  0.173913  0.000000  0.838710       0.50
163  0.218083  0.187544  0.257530  0.217051  0.017260     0.666667  0.130435  0.000000  0.838710       0.50
164  0.228548  0.191083  0.250502  0.214580  0.013895     0.666667  0.086957  0.000000  0.838710       0.50
165  0.235245  0.198160  0.263554  0.224876  0.012661     0.666667  0.043478  0.000000  0.838710       0.50
166  0.223524  0.203822  0.275602  0.231466  0.009235     0.666667  0.000000  0.000000  0.838710       0.50
167  0.227710  0.201699  0.227410  0.197282  0.013593     0.333333  1.000000  0.000000  0.774194       0.50
168  0.202595  0.196745  0.239458  0.224053  0.017418     0.333333  0.956522  0.000000  0.774194       0.50
169  0.198828  0.178698  0.240462  0.199341  0.011801     0.333333  0.913043  0.000000  0.774194       0.50
170  0.028882  0.015216  0.038655  0.028418  0.000157     0.666667  0.000000  0.000000  0.064516       0.25
171  0.059021  0.044586  0.048193  0.033361  0.008327     0.333333  1.000000  0.508475  1.000000       0.25
172  0.058602  0.048832  0.073293  0.058072  0.003450     0.333333  1.000000  0.000000  1.000000       0.25
173  0.069904  0.050248  0.069779  0.057661  0.006996     0.333333  0.956522  0.508475  1.000000       0.25
174  0.043114  0.056971  0.057731  0.068781  0.007408     0.333333  0.956522  0.000000  1.000000       0.25
175  0.060695  0.042109  0.054719  0.042010  0.010385     0.333333  0.913043  0.508475  1.000000       0.25
176  0.035161  0.061925  0.042671  0.059720  0.011862     0.333333  0.913043  0.000000  1.000000       0.25
177  0.035161  0.034324  0.041667  0.034596  0.014210     0.333333  0.869565  0.508475  1.000000       0.25
